CARD_ID,total_spend,total_transaction_count,average_transaction_size
c_107rlweykd3s4,-2316.4600219726562,6,-386.07667032877606
c_107sf9lkv7qqk,-1077.1399993896484,4,-269.2849998474121
c_107w1357yietn,-160.0,2,-80.0
c_10813ddhpw0nv,-731.7999877929688,3,-243.9333292643229
c_1081s2rngtiyc,-2652.25,5,-530.45
c_1084y26wpefif,-461.8000030517578,2,-230.9000015258789
c_1085vejfor99q,-20324.620098114014,40,-508.11550245285036
c_1085y3zd2dfxw,-366.3300018310547,3,-122.11000061035156
c_1086am8n1yxdo,-1396.9399871826172,12,-116.41166559855144
c_1086mdp4w1cyv,-1950.0,1,-1950.0
c_1088ipz85meb1,-1690.0,2,-845.0
c_108fdfqzmjudu,-52552.0500793457,97,-541.7737121582031
c_108ki54k5tp76,-2054.0,2,-1027.0
c_108kljc03u9zd,-1243.0,3,-414.3333333333333
c_108ksw5xgkzvq,-297.0,1,-297.0
c_108p54i969lwx,-40.630001068115234,1,-40.630001068115234
c_108scsyrey90m,-48.90999984741211,1,-48.90999984741211
c_108vb5f9ile1x,-14558.779968261719,15,-970.5853312174479
c_108y6jngn98ck,-1547.6499938964844,5,-309.5299987792969
c_108ycitah1tbp,-40.0,8,-5.0
c_108zn0uty3xwb,-88.0,1,-88.0
c_109a9eauyd38i,-4380.0,2,-2190.0
c_109ameancfrze,-90.05000305175781,1,-90.05000305175781
c_109lz8nhhyh5g,-9.989999771118164,1,-9.989999771118164
c_109m03sp59csm,-169.41000366210938,1,-169.41000366210938
c_109m6uoc6kxr3,-565.4799957275391,3,-188.4933319091797
c_109n1r1482y6e,-226.5999984741211,2,-113.29999923706055
c_109owbwuwkqfo,-1049.7800025939941,7,-149.968571799142
c_109qfh333hvrq,-1308.1000022888184,12,-109.00833352406819
c_109quw6jdhfn5,-103.0,1,-103.0
c_109s6q9u5cnk3,-227.8800048828125,1,-227.8800048828125
c_109ssonfedosz,-1793.1600036621094,3,-597.7200012207031
c_109ttpb2m30w2,-198.0,1,-198.0
c_109tv2fxlbwoq,-489.9200134277344,1,-489.9200134277344
c_109twf4p7adfw,-195.60000610351562,1,-195.60000610351562
c_109x9ty69l0xt,-1200.0,1,-1200.0
c_109xj6g5zebpg,-1965.3700103759766,9,-218.37444559733072
c_109zowuzxq3mh,-725.2000122070312,1,-725.2000122070312
c_10a0b394mqsyg,-1399.949951171875,2,-699.9749755859375
c_10a2kld5y87r5,-3011.7000732421875,2,-1505.8500366210938
c_10a5tlyezlonf,-5229.68000793457,6,-871.6133346557617
c_10a6zwodvbmc6,-1836.1799926757812,2,-918.0899963378906
c_10a70v4fth98h,-4310.15998840332,23,-187.39826036536175
c_10a81roer6idn,-5.0,1,-5.0
c_10aa3ollbr53v,-266.5,1,-266.5
c_10aap7210u9a0,-742.0,1,-742.0
c_10aayr248e0uj,-551.8499984741211,2,-275.92499923706055
c_10adp7iqy0iy1,-1751.2399597167969,4,-437.8099899291992
c_10aeyvnmr0rmc,-344.0,1,-344.0
c_10af42enq79y5,-903.0,1,-903.0
c_10ajaqkcyfvnf,-1614.1800537109375,1,-1614.1800537109375
c_10aly4gz1t9kl,-1036.050048828125,1,-1036.050048828125
c_10aoudchk0y2d,-300.5,1,-300.5
c_10asr6e1qz1zc,-786.0999984741211,5,-157.21999969482422
c_10aswijn08n8s,-2990.099998474121,4,-747.5249996185303
c_10azl6jdvo32g,-109.6500015258789,1,-109.6500015258789
c_10b2w2mvlvmky,-22.200000762939453,1,-22.200000762939453
c_10bcqbj82pemv,-1447.4700012207031,4,-361.8675003051758
c_10bekrn5isurc,-203.5500030517578,1,-203.5500030517578
c_10bfog0wi7u7p,-9758.579978942871,58,-168.25137894729087
c_10bisv0et4m0f,-118.44999694824219,1,-118.44999694824219
c_10bj3963f8q7h,-360.0,1,-360.0
c_10bkihz3tasdn,-1913.4299926757812,5,-382.6859985351563
c_10bmtutvtofeg,-100.0,1,-100.0
c_10bp057yax0ta,-5807.250015258789,9,-645.250001695421
c_10bt2a2ka9t1m,-10070.22998046875,13,-774.6330754206731
c_10btqdiplkgrp,-222.0,30,-7.4
c_10buyp40r2qro,-299.0,1,-299.0
c_10bvw06bo30jv,-729.4099731445312,1,-729.4099731445312
c_10c13efplkfsi,-300.0,1,-300.0
c_10c6ecniipo0y,-44.0,1,-44.0
c_10cdx0pvbqgwj,-67.72000122070312,2,-33.86000061035156
c_10ce528wn6t02,-175.82000732421875,1,-175.82000732421875
c_10cexr1g7xcgk,-72.14999771118164,2,-36.07499885559082
c_10cg321fkn5sz,-2005.4000244140625,1,-2005.4000244140625
c_10cmnkul69qcr,-708.0299987792969,2,-354.01499938964844
c_10cns0tpv1l4x,-238.60000610351562,1,-238.60000610351562
c_10crvo3h7cw6y,-105.0,1,-105.0
c_10ctay0u372g7,-311.8999938964844,2,-155.9499969482422
c_10ctt2vxzfl71,-749.9500122070312,3,-249.98333740234375
c_10cx3i00hishe,-516.960000038147,2,-258.4800000190735
c_10cxb24ax2i93,-127.0,1,-127.0
c_10cy8ahiah4fv,-3.5,1,-3.5
c_10cztsfd90y0r,-573.3099975585938,4,-143.32749938964844
c_10d03x0fo2z1h,-6864.4998779296875,7,-980.642839704241
c_10d0c4xmw0tqo,-355.5,1,-355.5
c_10d1iu4yyv72g,-85.80000305175781,1,-85.80000305175781
c_10d1obervdkp4,-641.3599853515625,1,-641.3599853515625
c_10d5u4bkzu863,-445.5999984741211,3,-148.53333282470703
c_10d6vsqoab6yr,-804.6900024414062,2,-402.3450012207031
c_10d71yp4b1vfv,-1738.1500244140625,1,-1738.1500244140625
c_10d81p77k1t89,-90.0,1,-90.0
c_10darr02yomml,-1950.0,1,-1950.0
c_10dbv88ejamdg,-2090.010040283203,5,-418.00200805664065
c_10dcu346mky8,-195.94000244140625,1,-195.94000244140625
c_10di9gj2fe292,-206.60000610351562,1,-206.60000610351562
c_10dimj2emt05w,-19028.189865112305,10,-1902.8189865112304
c_10diof3xfbi8u,-500.0,2,-250.0
c_10dl9g34n5bjd,-149.25999450683594,2,-74.62999725341797
c_10dn28xlyrwzl,-1899.9199829101562,3,-633.3066609700521
c_10dn5xj5qio1p,-19008.0,6,-3168.0
c_10dtttkt9n5x4,-153.2899932861328,1,-153.2899932861328
c_10dujtbwcfl82,-396.0,1,-396.0
c_10dwd7gwn2yq4,-15199.669987678528,79,-192.40088591998136
c_10dy39twtibsa,-5040.370029449463,35,-144.01057226998466
c_10e2wqr7g13b5,-6612.0,14,-472.2857142857143
c_10ea0fx16koa1,-783.8299865722656,3,-261.2766621907552
c_10eb5sigw5ahw,-177411.28008651733,158,-1122.8562030792236
c_10eel02fcaxta,-4642.049957275391,9,-515.7833285861545
c_10eepsx5c56ax,-1450.0,4,-362.5
c_10ejacwsutpv5,-80.0,1,-80.0
c_10eljivp3m155,-5.0,1,-5.0
c_10epwdv22zddv,-1728.5199570655823,10,-172.85199570655823
c_10ernas6yumo6,-232.6999969482422,1,-232.6999969482422
c_10evxtw9jceem,-464.1400146484375,1,-464.1400146484375
c_10f5a50mtzajh,-231.89999389648438,1,-231.89999389648438
c_10f68mq4anjxg,-100.0,1,-100.0
c_10fe3t3uorgy4,-140.0,1,-140.0
c_10fewmqj32km5,-1912.0699996948242,8,-239.00874996185303
c_10fj1hfdukj7w,-235.5500030517578,1,-235.5500030517578
c_10flegph88dor,-400.5,1,-400.5
c_10fn1rfp9fixr,-426.8500061035156,2,-213.4250030517578
c_10fokor6sa81s,-47.04999923706055,1,-47.04999923706055
c_10fpnuqzvrdb1,-820.5999755859375,1,-820.5999755859375
c_10fqozbo5d07j,-783.2000122070312,1,-783.2000122070312
c_10fsnpswrbak3,-528.0,1,-528.0
c_10ftduk4dl7us,-143.0,1,-143.0
c_10fx7iokf8615,-523.1000061035156,3,-174.36666870117188
c_10fxdulyo99nz,-690.9500122070312,2,-345.4750061035156
c_10fzo3e104ijk,-280.0,1,-280.0
c_10g0r02uquw9p,-424.2100067138672,2,-212.1050033569336
c_10g4zph9wdaf2,-93.44000244140625,1,-93.44000244140625
c_10gb5n4irnizo,-60.0,1,-60.0
c_10gdm5iryo0x3,-2353.0599822998047,14,-168.07571302141463
c_10gglcy4qb530,-164.6999969482422,1,-164.6999969482422
c_10gj09on7r9o2,-200.0,1,-200.0
c_10gkouk1tjdsz,-371.79998779296875,1,-371.79998779296875
c_10gs30wstjptp,-1564.5,7,-223.5
c_10gy11uauquqn,-3483.8300018310547,6,-580.6383336385092
c_10gyhmw341toq,-5170.290023803711,29,-178.28586288978315
c_10gzjrzvwjols,-1999.9000244140625,2,-999.9500122070312
c_10h0j9xy6up1o,-1027.0600051879883,4,-256.76500129699707
c_10h1cezul345g,-173.39999389648438,1,-173.39999389648438
c_10h8p6ej78xrc,-2649.949951171875,1,-2649.949951171875
c_10h9f8qdfrkkg,-10.0,2,-5.0
c_10he6nftwdxoo,-2884.0,2,-1442.0
c_10hmi3gth36jq,-68.94999694824219,1,-68.94999694824219
c_10hmmh5brmyeu,-100.0,1,-100.0
c_10hsyrfiyv6pc,-5.0,1,-5.0
c_10ht3edenbfhl,-130.9600067138672,1,-130.9600067138672
c_10huko9qe7b6y,-491.3999938964844,1,-491.3999938964844
c_10hyluphpy01u,-999.25,2,-499.625
c_10i3rtyk84cbj,-7556.529963493347,42,-179.91738008317492
c_10i4jyq5najld,-80.0,1,-80.0
c_10i8fj8wje1py,-460.0,1,-460.0
c_10iafyceurgw2,-435.0,1,-435.0
c_10ie59ipuw170,-479.9100036621094,1,-479.9100036621094
c_10ie8j4naivqc,-911.0999755859375,2,-455.54998779296875
c_10ihdxy9h1yxz,-305.0,1,-305.0
c_10ii894sqy57f,-100.0,1,-100.0
c_10ik5cz7x0tt9,-116.94000244140625,1,-116.94000244140625
c_10im1343rmvog,-2879.070022583008,5,-575.8140045166016
c_10ipupkzruk4r,-9358.569940567017,113,-82.81920301386741
c_10iq3fgdrognk,-5.360000133514404,1,-5.360000133514404
c_10it5v9i44i3n,-35.0,7,-5.0
c_10ivxlykxf2br,-147.35000610351562,1,-147.35000610351562
c_10ixix3evqifk,-180.0,1,-180.0
c_10iy9tkmpu6xv,-1399.949951171875,2,-699.9749755859375
c_10j0fqznr75ir,-948.6499786376953,4,-237.16249465942383
c_10j5hgesojlaj,-3755.199905395508,6,-625.8666508992513
c_10jel2z934y5v,-871.7999877929688,1,-871.7999877929688
c_10jk2e7e6ml17,-348.0,1,-348.0
c_10jkkmie9j9ku,-743.0999755859375,1,-743.0999755859375
c_10jou7s96m60f,-89.96999931335449,3,-29.989999771118164
c_10jrxq9oy3r3t,-20112.540088653564,34,-591.5452967251049
c_10jrz9jsn035c,-1898.1500282287598,9,-210.9055586920844
c_10juivh6pnwjc,-16550.560096740723,50,-331.01120193481444
c_10jwo6edebqka,-50740.56995677948,124,-409.1981448127377
c_10k2p60gwlhcs,-100.0,1,-100.0
c_10k4bomkb8f7m,-170.0,1,-170.0
c_10k8psk3imlte,-631.0499877929688,1,-631.0499877929688
c_10k9qiiz0ctwu,-1994.5599670410156,5,-398.9119934082031
c_10kin5iczo6l,-2820.279998779297,5,-564.0559997558594
c_10klfhkgyq2fa,-873.7600135803223,8,-109.22000169754028
c_10kmv9adxsk8n,-482.0299987792969,1,-482.0299987792969
c_10kpdp7dtxwwp,-392.5,1,-392.5
c_10kvk4nal5t64,-2097.75,3,-699.25
c_10kxeuf40st8c,-635.7299957275391,2,-317.86499786376953
c_10kyettyde3mb,-9149.659942626953,16,-571.8537464141846
c_10lcbo1sze3qk,-242.0,1,-242.0
c_10leo6wzizdxc,-12627.990030288696,34,-371.4114714790793
c_10lgkfipc07gg,-209.39999389648438,1,-209.39999389648438
c_10lguay5z20vc,-493.3399963378906,1,-493.3399963378906
c_10lhushwyfoio,-2447.3099975585938,2,-1223.6549987792969
c_10lhwhav46z0h,-696.8200073242188,2,-348.4100036621094
c_10li25da47xrf,-20.0,4,-5.0
c_10lm31xqatzfx,-115.9000015258789,1,-115.9000015258789
c_10ln7jfk9aabr,-18540.74001121521,91,-203.74439572763967
c_10lngs1xnjbty,-48.90999984741211,1,-48.90999984741211
c_10lo8wa3u64ce,-33266.72003555298,210,-158.41295255025227
c_10lr8xvvv2rnk,-2194.4199752807617,7,-313.4885678972517
c_10m0lc00ya4d6,-115.30000305175781,1,-115.30000305175781
c_10m7nd4kcft6j,-5094.509994506836,16,-318.40687465667725
c_10m8hlk7ncvv6,-5580.250019073486,15,-372.01666793823244
c_10me753q1324l,-44.0,1,-44.0
c_10meqfn2cywjc,-100.0,1,-100.0
c_10mf6i1o1gzwy,-9734.759963989258,9,-1081.6399959988064
c_10mfcbyw2ma7m,-887.0,3,-295.6666666666667
c_10mpn6lfgrnlc,-654.719970703125,1,-654.719970703125
c_10mqrg4xeastz,-1300.0,2,-650.0
c_10mr8ggrz8f6u,-3141.929999947548,47,-66.8495744669691
c_10mrjqul2kpi,-1530.989974975586,8,-191.37374687194824
c_10mur8xamorna,-128.0,1,-128.0
c_10mywa08e47h2,-20.5,1,-20.5
c_10n04bx9tqvkj,-5800.0,1,-5800.0
c_10n0kfneut2kh,-2495.6499633789062,7,-356.52142333984375
c_10n5gjfwm5r1e,-3016.8999633789062,5,-603.3799926757813
c_10n8t6u56doxj,-258.04998779296875,1,-258.04998779296875
c_10nb0h60ke2vf,-2064.5,6,-344.0833333333333
c_10ndyc35fiq7z,-33911.2096002195,23,-1474.400417400848
c_10nejbwegyuok,-2288.6100006103516,5,-457.7220001220703
c_10nht9idebxmv,-511.0,2,-255.5
c_10nq0nr56uce5,-67.72000122070312,2,-33.86000061035156
c_10nr38n3yt0xx,-368.4800109863281,1,-368.4800109863281
c_10nr80pel6s0k,-243.0399932861328,2,-121.5199966430664
c_10nvu3q85d6kw,-40.0,8,-5.0
c_10nwk1bka4rpa,-1658.1699953079224,9,-184.24111058976916
c_10nxaj2y92zuc,-905.5,1,-905.5
c_10o0eogqsa5mw,-244.0,1,-244.0
c_10o6ss69k2s2s,-255.47999572753906,1,-255.47999572753906
c_10oak359fwtd,-75.1800000667572,9,-8.353333340750801
c_10oibndqntsvy,-595.0,1,-595.0
c_10oj7jv0wfrrx,-471.17000579833984,3,-157.05666859944662
c_10ojsw9g4w9lh,-2178.8199768066406,4,-544.7049942016602
c_10oo17jxnxkdz,-2649.949951171875,1,-2649.949951171875
c_10opcp99c1guo,-801.5699768066406,3,-267.1899922688802
c_10orjm82p908g,-10879.06002998352,58,-187.57000051695724
c_10osq3otzncj6,-851.3599853515625,2,-425.67999267578125
c_10ot5qv1c79gb,-1196.3000183105469,2,-598.1500091552734
c_10ow41p7iij2a,-1595.3999938964844,4,-398.8499984741211
c_10ozqreuizu45,-555.1300048828125,1,-555.1300048828125
c_10p13gywc0ywu,-8413.419738769531,4,-2103.354934692383
c_10p1wf57cfxm2,-393.3999938964844,1,-393.3999938964844
c_10p24i9kcwfxo,-1402.339997768402,6,-233.72333296140036
c_10p24ww5cgsnu,-19189.099975585938,12,-1599.0916646321614
c_10p64x3zx87r6,-7637.960010528564,42,-181.85619072687058
c_10p77j2w3hdye,-332.8000030517578,2,-166.4000015258789
c_10pa9cp8iycyu,-45.0,1,-45.0
c_10paoqjiqcsth,-47995.548828125,6,-7999.258138020833
c_10pcnn587sng1,-255.86000061035156,1,-255.86000061035156
c_10pfut512g3ht,-275.0,1,-275.0
c_10pnuwhi7rcbx,-214.55999755859375,1,-214.55999755859375
c_10pr8wymcn41d,-4916.130027770996,26,-189.0819241450383
c_10prkdtmouisc,-334.3500061035156,1,-334.3500061035156
c_10psiefgxormv,-296.79998779296875,1,-296.79998779296875
c_10pybxraqivrb,-394.6700134277344,1,-394.6700134277344
c_10q0mdqq35n6n,-130.39999389648438,1,-130.39999389648438
c_10q3ptdtj4qr2,-15.0,3,-5.0
c_10q4ac2so6tj3,-199.85000610351562,1,-199.85000610351562
c_10q5dyi9p9pxn,-4546.680000305176,12,-378.89000002543133
c_10q6zsx25o796,-220.69000244140625,1,-220.69000244140625
c_10qbp8tdoc5no,-1623.5499877929688,4,-405.8874969482422
c_10qbwrz5q6u5x,-574.8999938964844,5,-114.97999877929688
c_10qbzzncecq3u,-2521.8599548339844,2,-1260.9299774169922
c_10qdr3lqtejqr,-30332.109909057617,42,-722.1930930728004
c_10qijwh9thlij,-56433.109771728516,32,-1763.534680366516
c_10qipfx6dr0c7,-999.9500122070312,1,-999.9500122070312
c_10qlu19ce0y33,-910.75,2,-455.375
c_10qqr6ipfo65y,-1725.800048828125,1,-1725.800048828125
c_10qr91pcjte6p,-171.60000610351562,2,-85.80000305175781
c_10qt628cpz9ud,-12141.330001831055,23,-527.8839131230893
c_10r3icszgmmkx,-1590.0,1,-1590.0
c_10r3rbj6m2ugd,-40747.91981506348,81,-503.0607384575738
c_10r65v88lix3w,-3928.2499923706055,19,-206.74999959845292
c_10raq5rnhs1w0,-5.360000133514404,1,-5.360000133514404
c_10rc9a09fujs7,-2305.0,1,-2305.0
c_10rcg60rvaju2,-15.0,3,-5.0
c_10rdxdb1z26q3,-586.7999877929688,2,-293.3999938964844
c_10rla527n0m13,-277.6000061035156,1,-277.6000061035156
c_10rmaqfnnj24q,-449.25,1,-449.25
c_10rp2frcx785c,-1300.0,1,-1300.0
c_10rpyb45qj6bh,-14895.640045166016,51,-292.07137343462773
c_10rpyy8x871lt,-519.8200073242188,2,-259.9100036621094
c_10ru58r0pneaz,-1120.06005859375,1,-1120.06005859375
c_10rv6idbiewuv,-288.1199951171875,2,-144.05999755859375
c_10rxxaaein5y9,-400.0,1,-400.0
c_10rzc9ksue6ze,-25.0,5,-5.0
c_10s0hulsenn36,-20.0,4,-5.0
c_10s0y8wolfszo,-2600.0,1,-2600.0
c_10s8i1w15xx3y,-1598.5999755859375,1,-1598.5999755859375
c_10s9g4gl1s8a5,-3090.5399780273438,28,-110.37642778669085
c_10sa6xoxf8zgw,-48.90999984741211,1,-48.90999984741211
c_10saqdyqyhqu1,-126.08000183105469,1,-126.08000183105469
c_10sbuhtb5k6cn,-2156.060028076172,5,-431.2120056152344
c_10scxlx0h4uoi,-218.0,1,-218.0
c_10sg3gcb8uxwj,-1403.2799987792969,2,-701.6399993896484
c_10shhh5x7xbhd,-307.67999267578125,1,-307.67999267578125
c_10sivko71vzsq,-559.0700073242188,1,-559.0700073242188
c_10skrjunm4cg4,-1260.4700164794922,3,-420.15667215983075
c_10sqvfaujaonj,-1064.5700225830078,6,-177.42833709716797
c_10ss5f0qgym3a,-2305.2499923706055,10,-230.52499923706054
c_10sxgqrkww716,-1977.0,3,-659.0
c_10syz0fl1e7tl,-124.4000015258789,1,-124.4000015258789
c_10t47w3tori4a,-1609.5400390625,1,-1609.5400390625
c_10tbba55qqg3s,-20.0,4,-5.0
c_10tdl483jkvyr,-80.0,1,-80.0
c_10tjvwa8x3ds1,-10.0,2,-5.0
c_10tmkk8hgc01j,-419.9600067138672,2,-209.9800033569336
c_10tnw7imj3ewr,-595.0,1,-595.0
c_10tovj3fngf2k,-100.0,1,-100.0
c_10tp27m1objma,-4197.190032958984,5,-839.4380065917969
c_10tr4i3ry772m,-453.79998779296875,1,-453.79998779296875
c_10tvcr121hyqc,-435.0,1,-435.0
c_10u40yjwir1kc,-420.0,1,-420.0
c_10u7dlhsz21o3,-48.90999984741211,1,-48.90999984741211
c_10u9fl0kitmps,-216.5,1,-216.5
c_10uaxs07zwk7g,-2786.1400079727173,8,-348.26750099658966
c_10ud1f3snzs6a,-302.0,1,-302.0
c_10uel52ynupb3,-3388.8400268554688,4,-847.2100067138672
c_10uj344pi6got,-7878.769927978516,25,-315.15079711914063
c_10um564ydpn95,-403.4700012207031,4,-100.86750030517578
c_10umclk5qtq6i,-22.0,1,-22.0
c_10uulu9dwqmwv,-4883.300048828125,12,-406.94167073567706
c_10uwaricpw3bt,-1231.22998046875,2,-615.614990234375
c_10uzyufkj3um6,-673.8999938964844,4,-168.4749984741211
c_10v1t8wiv4u0q,-32.34000015258789,1,-32.34000015258789
c_10v30d4m51c5v,-100.0,1,-100.0
c_10v3yds7wjbqh,-73.0,1,-73.0
c_10v5ig892ubql,-2257.2000122070312,4,-564.3000030517578
c_10v6u8r7z5zc4,-170.25,1,-170.25
c_10vbw3m0kui0y,-5456.899925231934,12,-454.74166043599445
c_10vcqctri8ivy,-2425.7099838256836,20,-121.28549919128417
c_10vd36onkb1bc,-1226.4800033569336,15,-81.76533355712891
c_10ven1yuez7vd,-12143.17007446289,52,-233.52250143197867
c_10vf8g6erx253,-258.5,1,-258.5
c_10vi7ih1yz1kq,-318.0,1,-318.0
c_10vkg1sr5t87l,-3710.6499786376953,9,-412.29444207085504
c_10vq0mx3f4tjx,-110.19999694824219,1,-110.19999694824219
c_10vqaxh0cgndp,-564.8800048828125,1,-564.8800048828125
c_10vvfqr4ivsk7,-2776.720016479492,5,-555.3440032958985
c_10vxv6lt569e6,-536.6500091552734,2,-268.3250045776367
c_10w4lvwtw0h0a,-25.0,5,-5.0
c_10w4q22euidr2,-1129.9200439453125,1,-1129.9200439453125
c_10w5b1c43waki,-334.69000005722046,8,-41.83625000715256
c_10w7k5x1f78t1,-247.52000427246094,2,-123.76000213623047
c_10w7skg532oee,-2877.980010986328,8,-359.747501373291
c_10waxfudpig7o,-630.0,1,-630.0
c_10wbok20yl0w1,-9.0,1,-9.0
c_10wdqt3m5vbdx,-820.5999755859375,1,-820.5999755859375
